n, q, tp, g, app, MOS, stdev, Queue, SU
1, 10B,110,1, hostVIP,4.353730287298028,0.0,6600.0,0.5966818181818182
1, 10B,120,1, hostVIP,4.354547354953043,0.0,7200.0,0.5469583333333333
1, 10B,130,1, hostVIP,4.355237083316809,0.0,7800.0,0.5048846153846154
1, 10B,140,1, hostVIP,4.35582708403886,0.0,8400.0,0.4688214285714285
1, 10B,150,1, hostVIP,4.356337525087779,0.0,9000.0,0.4375666666666666
10, T,50,1, hostVIP,3.184412443797209,0.1077736693852571,1200.0,0.96632
10, T,60,1, hostVIP,3.4978496241982207,0.1508009795072001,1200.0,0.918325
10, T,70,1, hostVIP,3.926563276689335,0.0811948857462176,1800.0,0.8809214285714286
10, T,80,1, hostVIP,4.186670246366429,0.0583657018367043,1800.0,0.8031125
10, T,90,1, hostVIP,4.3012923678706825,0.0286473501190781,1800.0,0.7225666666666666
10, T,100,1, hostVIP,4.371098911445166,0.0119394865976254,2400.0,0.655595
10, T,110,1, hostVIP,4.371322219306688,0.0119329153434951,2400.0,0.5960045454545455
10, T,120,1, hostVIP,4.37148643826393,0.0119261889129838,2400.0,0.5463375
10, T,130,1, hostVIP,4.373677103168776,0.007649727213176,3000.0,0.5043461538461538
10, T,140,1, hostVIP,4.373780783480537,0.0076495301888396,3000.0,0.4683214285714285
10, T,150,1, hostVIP,4.373865231664124,0.0076496852530353,3000.0,0.4371
10, B,50,1, hostVIP,3.242241219224756,0.1201735654763099,3000.0,0.98167
10, B,60,1, hostVIP,3.623427569681001,0.1383182506724324,3600.0,0.9481583333333332
10, B,70,1, hostVIP,3.9899479376329694,0.05583319236018,4200.0,0.8889928571428571
10, B,80,1, hostVIP,4.261943234798137,0.0353436455514336,4800.0,0.81010625
10, B,90,1, hostVIP,4.366994742175443,0.0108534820453831,5400.0,0.7280888888888889
10, B,100,1, hostVIP,4.373163528934304,0.0076589722542057,6000.0,0.65565
10, B,110,1, hostVIP,4.37338446093057,0.0076546500858634,6600.0,0.5960454545454545
10, B,120,1, hostVIP,4.3735488500982855,0.0076509447630825,7200.0,0.5463749999999999
10, B,130,1, hostVIP,4.373677103168776,0.007649727213176,7800.0,0.5043461538461538
10, B,140,1, hostVIP,4.373780783480537,0.0076495301888396,8400.0,0.4683214285714285
10, B,150,1, hostVIP,4.373865231664124,0.0076496852530353,9000.0,0.4371
10, 5B,50,1, hostVIP,2.780148469659113,0.2019617182014419,15000.0,0.99159
10, 5B,60,1, hostVIP,2.779140442983041,0.1301668133108138,18000.0,0.9667583333333334
10, 5B,70,1, hostVIP,2.988553215013713,0.129329221476805,21000.0,0.9047857142857144
