n, q, tp, g, app, MOS, stdev, Queue
30, 10B, 50, 1, hostVIP, 2.7874936674567743, 0.10358139302283748, 90000.0
30, 10B, 60, 1, hostVIP, 2.7802232024185365, 0.1079360631434194, 108000.0
30, 10B, 70, 1, hostVIP, 3.411770818316624, 0.08605498812384708, 126000.0
30, 10B, 80, 1, hostVIP, 4.265728737266317, 0.02028919952791328, 144000.0
30, 10B, 90, 1, hostVIP, 4.37871267425088, 0.010169525023941889, 162000.0
30, 10B, 100, 1, hostVIP, 4.3788625455641235, 0.010169349064811404, 180000.0
30, 10B, 110, 1, hostVIP, 4.37896112506589, 0.010169996340714329, 198000.0
30, 10B, 120, 1, hostVIP, 4.379029458233091, 0.010170867905896693, 216000.0
30, 10B, 130, 1, hostVIP, 4.37908064208973, 0.01017097556075616, 234000.0
30, 10B, 140, 1, hostVIP, 4.3791202623442445, 0.010170703458403875, 252000.0
30, 10B, 150, 1, hostVIP, 4.379152045813189, 0.010170379633950892, 270000.0
40, T, 50, 1, hostVIP, 3.2207550903667372, 0.10437190857810962, 2400
40, T, 60, 1, hostVIP, 3.606253291792462, 0.11445251444283679, 2400
40, T, 70, 1, hostVIP, 4.077428689173731, 0.06208440819760598, 3000
40, T, 80, 1, hostVIP, 4.327779278702499, 0.03169226375422503, 3600
40, T, 90, 1, hostVIP, 4.360343040973743, 0.018658901339152965, 3600
40, T, 100, 1, hostVIP, 4.372712447043234, 0.011844163764103795, 4200
40, T, 110, 1, hostVIP, 4.374878577647584, 0.010495873333258236, 4200
40, T, 120, 1, hostVIP, 4.376980341789, 0.009504839491518893, 4800
40, T, 130, 1, hostVIP, 4.377500357026586, 0.0092980581796557, 5400
40, T, 140, 1, hostVIP, 4.3775310469192386, 0.009298221376439176, 5400
40, T, 150, 1, hostVIP, 4.377556052170411, 0.009298061066687239, 6000
40, B, 50, 1, hostVIP, 3.3178223704498797, 0.12783360711135064, 12000.0
40, B, 60, 1, hostVIP, 3.7521534525377733, 0.10168706709191136, 14400.0
40, B, 70, 1, hostVIP, 4.21128226797758, 0.04657351913368239, 16800.0
40, B, 80, 1, hostVIP, 4.373772096194877, 0.0102748880717692, 19200.0
40, B, 90, 1, hostVIP, 4.377213461022629, 0.009296922356816305, 21600.0
40, B, 100, 1, hostVIP, 4.377330948751046, 0.009297420222158998, 24000.0
40, B, 110, 1, hostVIP, 4.377406703211463, 0.009297749263542692, 26400.0
40, B, 120, 1, hostVIP, 4.377460277266921, 0.009298092679755844, 28800.0
40, B, 130, 1, hostVIP, 4.377500357026586, 0.0092980581796557, 31200.0
40, B, 140, 1, hostVIP, 4.3775310469192386, 0.009298221376439176, 33600.0
40, B, 150, 1, hostVIP, 4.377556052170411, 0.009298061066687239, 36000.0
40, 5B, 50, 1, hostVIP, 3.2118826923799704, 0.09899523404400754, 60000.0
40, 5B, 60, 1, hostVIP, 3.2495151991621607, 0.12204649289900871, 72000.0
40, 5B, 70, 1, hostVIP, 3.596697417272927, 0.06860993740550178, 84000.0
40, 5B, 80, 1, hostVIP, 4.365064632871976, 0.013226685649393607, 96000.0
40, 5B, 90, 1, hostVIP, 4.377213461022629, 0.009296922356816305, 108000.0
40, 5B, 100, 1, hostVIP, 4.377330948751046, 0.009297420222158998, 120000.0
40, 5B, 110, 1, hostVIP, 4.377406703211463, 0.009297749263542692, 132000.0
40, 5B, 120, 1, hostVIP, 4.377460277266921, 0.009298092679755844, 144000.0
40, 5B, 130, 1, hostVIP, 4.377500357026586, 0.0092980581796557, 156000.0
40, 5B, 140, 1, hostVIP, 4.3775310469192386, 0.009298221376439176, 168000.0
40, 5B, 150, 1, hostVIP, 4.377556052170411, 0.009298061066687239, 180000.0
40, 10B, 50, 1, hostVIP, 2.843965905360964, 0.1224332205780735, 120000.0
40, 10B, 60, 1, hostVIP, 2.9283626293374323, 0.11312494879865806, 144000.0
40, 10B, 70, 1, hostVIP, 3.5424016862200998, 0.0671351676796647, 168000.0
40, 10B, 80, 1, hostVIP, 4.365064632871976, 0.013226685649393607, 192000.0
40, 10B, 90, 1, hostVIP, 4.377213461022629, 0.009296922356816305, 216000.0
40, 10B, 100, 1, hostVIP, 4.377330948751046, 0.009297420222158998, 240000.0
40, 10B, 110, 1, hostVIP, 4.377406703211463, 0.009297749263542692, 264000.0
40, 10B, 120, 1, hostVIP, 4.377460277266921, 0.009298092679755844, 288000.0
40, 10B, 130, 1, hostVIP, 4.377500357026586, 0.0092980581796557, 312000.0
40, 10B, 140, 1, hostVIP, 4.3775310469192386, 0.009298221376439176, 336000.0
40, 10B, 150, 1, hostVIP, 4.377556052170411, 0.009298061066687239, 360000.0
50, T, 50, 1, hostVIP, 3.1589745629301444, 0.12369549515610352, 2400
50, T, 60, 1, hostVIP, 3.6481268840547445, 0.09521952019746788, 3000
50, T, 70, 1, hostVIP, 4.043237397053865, 0.0733981228844798, 3000
50, T, 80, 1, hostVIP, 4.304284343092645, 0.02761162726701997, 3600
50, T, 90, 1, hostVIP, 4.369137339888778, 0.011483092753704651, 4200
50, T, 100, 1, hostVIP, 4.377821605761942, 0.006289786659270406, 4800
50, T, 110, 1, hostVIP, 4.378590101223667, 0.0059899807904818005, 4800
50, T, 120, 1, hostVIP, 4.378811144723472, 0.005896443211427437, 5400
50, T, 130, 1, hostVIP, 4.37884469922255, 0.0058960812590635675, 6000
50, T, 140, 1, hostVIP, 4.378870332176924, 0.005895964300219452, 6000
50, T, 150, 1, hostVIP, 4.37889046734902, 0.005896049323917127, 6600
50, B, 50, 1, hostVIP, 3.307279479198587, 0.11172703582389062, 15000.0
50, B, 60, 1, hostVIP, 3.728689246223703, 0.09728149939989507, 18000.0
50, B, 70, 1, hostVIP, 4.196187758627965, 0.04731828269671269, 21000.0
50, B, 80, 1, hostVIP, 4.377347144570414, 0.005788699747872455, 24000.0
50, B, 90, 1, hostVIP, 4.378595164521568, 0.005897610906459733, 27000.0
50, B, 100, 1, hostVIP, 4.378699874769198, 0.005897540760929309, 30000.0
50, B, 110, 1, hostVIP, 4.378765847659217, 0.0058965705717063475, 33000.0
50, B, 120, 1, hostVIP, 4.378811144723472, 0.005896443211427437, 36000.0
50, B, 130, 1, hostVIP, 4.37884469922255, 0.0058960812590635675, 39000.0
50, B, 140, 1, hostVIP, 4.378870332176924, 0.005895964300219452, 42000.0
50, B, 150, 1, hostVIP, 4.37889046734902, 0.005896049323917127, 45000.0
50, 5B, 50, 1, hostVIP, 3.2403095692851345, 0.10271215821650106, 75000.0
50, 5B, 60, 1, hostVIP, 3.377689907464987, 0.08746740848039596, 90000.0
50, 5B, 70, 1, hostVIP, 3.613553189938637, 0.06299542217627677, 105000.0
50, 5B, 80, 1, hostVIP, 4.375989166969887, 0.006098342526629656, 120000.0
