n, q, tp, g, app, MOS, stdev, Queue
1, 10B, 60, S, hostFDO, 2.6031865462842, 0.0
1, 10B, 70, S, hostVIP, 1.2263836542627125, 0.0
1, 10B, 70, S, hostVID, 2.843815495110456, 0.0
1, 10B, 70, S, hostLVD, 3.2947197176454877, 0.0
1, 10B, 70, S, hostFDO, 2.8559201901686, 0.0
1, 10B, 80, S, hostVIP, 1.388200267969629, 0.0
1, 10B, 80, S, hostVID, 3.2607003101598853, 0.0
1, 10B, 80, S, hostLVD, 3.244881024814385, 0.0
1, 10B, 80, S, hostFDO, 3.0426082550497, 0.0
1, 10B, 90, S, hostVIP, 1.7028703374881125, 0.0
1, 10B, 90, S, hostVID, 3.305045652728408, 0.0
1, 10B, 90, S, hostLVD, 3.249144885659064, 0.0
1, 10B, 90, S, hostFDO, 3.2711586354281, 0.0
1, 10B, 100, S, hostVIP, 4.352747043006647, 0.0
1, 10B, 100, S, hostVID, 3.574412163434628, 0.0
1, 10B, 100, S, hostLVD, 3.2136999516805744, 0.0
1, 10B, 100, S, hostFDO, 3.4412502778866, 0.0
1, 10B, 110, S, hostVID, 3.679097832561989, 0.0
1, 10B, 110, S, hostLVD, 3.2639947482237064, 0.0
1, 10B, 120, S, hostVID, 3.830237384086535, 0.0
1, 10B, 120, S, hostLVD, 3.617381694506041, 0.0
1, 10B, 130, S, hostVID, 3.984119998394145, 0.0
1, 10B, 130, S, hostLVD, 3.6695211212651486, 0.0
1, 10B, 140, S, hostVID, 4.022830191944308, 0.0
1, 10B, 140, S, hostLVD, 3.9109067351894717, 0.0
1, 10B, 150, S, hostVID, 4.026012396277564, 0.0
1, 10B, 150, S, hostLVD, 4.327753208772095, 0.0
1, 10B, 50, F, hostVIP, 1.1277464579227972, 0.0
1, 10B, 50, F, hostVID, 3.0257136978612635, 0.0
1, 10B, 50, F, hostLVD, 3.1409514293373135, 0.0
1, 10B, 50, F, hostFDO, 2.3047552393111994, 0.0
1, 10B, 60, F, hostVIP, 1.130306757759881, 0.0
1, 10B, 60, F, hostVID, 2.3978770356033063, 0.0
1, 10B, 60, F, hostLVD, 3.2871126360764555, 0.0
1, 10B, 60, F, hostFDO, 2.6031865462842, 0.0
1, 10B, 70, F, hostVIP, 1.2263836542627125, 0.0
1, 10B, 70, F, hostVID, 2.843815495110456, 0.0
1, 10B, 70, F, hostLVD, 3.2947197176454877, 0.0
1, 10B, 70, F, hostFDO, 2.8559201901686, 0.0
1, 10B, 80, F, hostVIP, 1.388200267969629, 0.0
1, 10B, 80, F, hostVID, 3.2607003101598853, 0.0
1, 10B, 80, F, hostLVD, 3.244881024814385, 0.0
1, 10B, 80, F, hostFDO, 3.0426082550497, 0.0
1, 10B, 90, F, hostVIP, 1.7028703374881125, 0.0
1, 10B, 90, F, hostVID, 3.305045652728408, 0.0
1, 10B, 90, F, hostLVD, 3.249144885659064, 0.0
1, 10B, 90, F, hostFDO, 3.2711586354281, 0.0
1, 10B, 100, F, hostVIP, 4.352747043006647, 0.0
1, 10B, 100, F, hostVID, 3.574412163434628, 0.0
1, 10B, 100, F, hostLVD, 3.2136999516805744, 0.0
1, 10B, 100, F, hostFDO, 3.4412502778866, 0.0
1, 10B, 110, F, hostVID, 3.679097832561989, 0.0
1, 10B, 110, F, hostLVD, 3.2639947482237064, 0.0
1, 10B, 110, F, hostFDO, 3.6666839518994, 0.0
1, 10B, 120, F, hostVID, 3.830237384086535, 0.0
1, 10B, 120, F, hostLVD, 3.617381694506041, 0.0
1, 10B, 120, F, hostFDO, 3.8125066385683, 0.0
1, 10B, 130, F, hostVID, 3.984119998394145, 0.0
1, 10B, 130, F, hostLVD, 3.6695211212651486, 0.0
1, 10B, 130, F, hostFDO, 3.9466220365453, 0.0
1, 10B, 140, F, hostVID, 4.022830191944308, 0.0
1, 10B, 140, F, hostLVD, 3.9109067351894717, 0.0
1, 10B, 140, F, hostFDO, 4.070767154169699, 0.0
1, 10B, 150, F, hostVID, 4.026012396277564, 0.0
1, 10B, 150, F, hostLVD, 4.327753208772095, 0.0
1, 10B, 150, F, hostFDO, 4.1863189784318, 0.0
1, R, 50, S, hostVIP, 1.0023342071830903, 0.0
1, R, 50, S, hostVID, 3.117893265415892, 0.0
1, R, 50, S, hostLVD, 3.2624600931917387, 0.0
1, R, 50, S, hostFDO, 2.34395625955, 0.0
1, R, 60, S, hostVIP, 1.0025586848383583, 0.0
1, R, 60, S, hostVID, 2.4718073418939355, 0.0
1, R, 60, S, hostLVD, 3.3524130390901017, 0.0
1, R, 60, S, hostFDO, 2.6499890718098, 0.0
1, R, 70, S, hostVIP, 1.0530048476254452, 0.0
1, R, 70, S, hostVID, 2.6638562330393345, 0.0
1, R, 70, S, hostLVD, 3.3543884904575103, 0.0
1, R, 70, S, hostFDO, 2.908694853415, 0.0
1, R, 80, S, hostVIP, 1.290218740958848, 0.0
1, R, 80, S, hostVID, 3.231322060766056, 0.0
1, R, 80, S, hostLVD, 3.3764542883139694, 0.0
1, R, 80, S, hostFDO, 3.1327514174555, 0.0
1, R, 90, S, hostVIP, 1.6821132563715524, 0.0
1, R, 90, S, hostVID, 3.413785939076841, 0.0
1, R, 90, S, hostLVD, 3.382472435464425, 0.0
1, R, 90, S, hostFDO, 3.3302702639019994, 0.0
1, R, 100, S, hostVIP, 4.352747043006647, 0.0
1, R, 100, S, hostVID, 3.7430761225616247, 0.0
1, R, 100, S, hostLVD, 3.383451100852705, 0.0
1, R, 100, S, hostFDO, 3.5069193520118995, 0.0
1, R, 110, S, hostVID, 3.757127133996756, 0.0
1, R, 110, S, hostLVD, 3.391496962602482, 0.0
1, R, 120, S, hostVID, 3.920328533578712, 0.0
1, R, 120, S, hostLVD, 4.3027360022221055, 0.0
1, R, 130, S, hostVID, 3.949505167742145, 0.0
1, R, 130, S, hostLVD, 4.3149214195880035, 0.0
1, R, 140, S, hostVID, 4.096543617503631, 0.0
1, R, 140, S, hostLVD, 4.327225924400609, 0.0
1, R, 150, S, hostVID, 4.156442790737804, 0.0
1, R, 150, S, hostLVD, 4.327753208772095, 0.0
1, R, 50, F, hostVIP, 1.0023342071830903, 0.0
1, R, 50, F, hostVID, 3.117893265415892, 0.0
1, R, 50, F, hostLVD, 3.2624600931917387, 0.0
1, R, 50, F, hostFDO, 2.34395625955, 0.0
1, R, 60, F, hostVIP, 1.0025586848383583, 0.0
1, R, 60, F, hostVID, 2.4718073418939355, 0.0
1, R, 60, F, hostLVD, 3.3524130390901017, 0.0
1, R, 60, F, hostFDO, 2.6499890718098, 0.0
1, R, 70, F, hostVIP, 1.0530048476254452, 0.0
1, R, 70, F, hostVID, 2.6638562330393345, 0.0
1, R, 70, F, hostLVD, 3.3543884904575103, 0.0
1, R, 70, F, hostFDO, 2.908694853415, 0.0
1, R, 80, F, hostVIP, 1.290218740958848, 0.0
1, R, 80, F, hostVID, 3.231322060766056, 0.0
1, R, 80, F, hostLVD, 3.3764542883139694, 0.0
1, R, 80, F, hostFDO, 3.1327514174555, 0.0
1, R, 90, F, hostVIP, 1.6821132563715524, 0.0
1, R, 90, F, hostVID, 3.413785939076841, 0.0
1, R, 90, F, hostLVD, 3.382472435464425, 0.0
1, R, 90, F, hostFDO, 3.3302702639019994, 0.0
1, R, 100, F, hostVIP, 4.352747043006647, 0.0
1, R, 100, F, hostVID, 3.7430761225616247, 0.0
1, R, 100, F, hostLVD, 3.383451100852705, 0.0
1, R, 100, F, hostFDO, 3.5069193520118995, 0.0
1, R, 110, F, hostVID, 3.757127133996756, 0.0
1, R, 110, F, hostLVD, 3.391496962602482, 0.0
1, R, 110, F, hostFDO, 3.6666839518994, 0.0
1, R, 120, F, hostVID, 3.920328533578712, 0.0
1, R, 120, F, hostLVD, 4.3027360022221055, 0.0
1, R, 120, F, hostFDO, 3.8125066385683, 0.0
1, R, 130, F, hostVID, 3.949505167742145, 0.0
1, R, 130, F, hostLVD, 4.3149214195880035, 0.0
1, R, 130, F, hostFDO, 3.9466220365453, 0.0
1, R, 140, F, hostVID, 4.096543617503631, 0.0
1, R, 140, F, hostLVD, 4.327225924400609, 0.0
1, R, 140, F, hostFDO, 4.070767154169699, 0.0
1, R, 150, F, hostVID, 4.156442790737804, 0.0
1, R, 150, F, hostLVD, 4.327753208772095, 0.0
1, R, 150, F, hostFDO, 4.1863189784318, 0.0
10, T, 50, S, hostVIP, 3.184412443797209, 0.10777366938525719
10, T, 50, S, hostVID, 2.008601334043943, 0.2792044647947851
10, T, 50, S, hostLVD, 1.8294608681553741, 0.1821848695546599
10, T, 50, S, hostFDO, 2.2505256651325762, 0.1549443433839239
10, T, 60, S, hostVIP, 3.4978496241982207, 0.15080097950720017
10, T, 60, S, hostVID, 2.4599391817615426, 0.2873153054664827
10, T, 60, S, hostLVD, 2.0848132680821863, 0.1658566368502207
10, T, 60, S, hostFDO, 2.623690844001747, 0.19040912816766184
10, T, 70, S, hostVIP, 3.926563276689335, 0.08119488574621767
10, T, 70, S, hostVID, 2.707009977461774, 0.41823837919542806
10, T, 70, S, hostLVD, 2.3587517458606952, 0.158792815642879
10, T, 70, S, hostFDO, 2.881607624632359, 0.08944543609304494
10, T, 80, S, hostVIP, 4.186670246366429, 0.05836570183670431
10, T, 80, S, hostVID, 2.7429900501981357, 0.43736702547959205
10, T, 80, S, hostLVD, 2.5427831513017662, 0.17594949199964885
10, T, 80, S, hostFDO, 3.1047029349406365, 0.10647327013392567
10, T, 90, S, hostVIP, 4.3012923678706825, 0.02864735011907817
10, T, 90, S, hostVID, 3.1765062347483592, 0.275983703149774
10, T, 90, S, hostLVD, 2.681248362774161, 0.08540240014115642
10, T, 90, S, hostFDO, 3.28388407498493, 0.06104676437438478
10, T, 100, S, hostVIP, 4.371098911445166, 0.011939486597625448
10, T, 100, S, hostVID, 3.285381492099801, 0.41336315724799233
10, T, 100, S, hostLVD, 2.792714147333235, 0.1304367680198277
10, T, 100, S, hostFDO, 3.4599188721432315, 0.0753190718910316
10, T, 110, S, hostVID, 3.537208929083241, 0.24773259299380576
10, T, 110, S, hostLVD, 2.9526658516076876, 0.10082199774258066
10, T, 120, S, hostVID, 3.392946720926123, 0.37201225573721936
10, T, 120, S, hostLVD, 3.0055161606766525, 0.1752426512939681
10, T, 130, S, hostVID, 3.657003992162924, 0.34423584557814246
10, T, 130, S, hostLVD, 3.14032824818309, 0.1954131538176054
10, T, 140, S, hostVID, 3.590104672066999, 0.3048797372028394
10, T, 140, S, hostLVD, 3.110049242439759, 0.14773260050702475
10, T, 150, S, hostVID, 3.459777565562446, 0.3193234045742037
10, T, 150, S, hostLVD, 3.1863638449418534, 0.18428271246712893
10, B, 50, S, hostVIP, 3.2422412192247556, 0.1201735654763099
10, B, 50, S, hostVID, 2.0869599252073487, 0.2793574360634296
10, B, 50, S, hostLVD, 2.51297163114775, 0.15279712313161292
10, B, 50, S, hostFDO, 2.393356330216987, 0.09632669842870192
10, B, 60, S, hostVIP, 3.623427569681001, 0.13831825067243242
10, B, 60, S, hostVID, 2.337716607774386, 0.326578934301048
10, B, 60, S, hostLVD, 2.826709177800278, 0.19548660526215642
10, B, 60, S, hostFDO, 2.6905301795044725, 0.07969569621855704
10, B, 70, S, hostVIP, 3.9899479376329694, 0.05583319236018004
10, B, 70, S, hostVID, 2.619925389036314, 0.40660536717387596
10, B, 70, S, hostLVD, 2.906982024020159, 0.17052149096465175
10, B, 70, S, hostFDO, 2.960758077156127, 0.11068860958650752
10, B, 80, S, hostVIP, 4.261943234798137, 0.035343645551433656
10, B, 80, S, hostVID, 2.5206566123087324, 0.8067663116754256
10, B, 80, S, hostLVD, 3.0615162652517767, 0.21855395418791937
10, B, 80, S, hostFDO, 3.195320935333843, 0.08326571049419838
10, B, 90, S, hostVIP, 4.366994742175443, 0.010853482045383198
10, B, 90, S, hostVID, 3.2760597107297245, 0.2729135426027007
10, B, 90, S, hostLVD, 3.3233391774489904, 0.31794174250682133
10, B, 90, S, hostFDO, 3.3826078717233656, 0.047211535427281626
10, B, 100, S, hostVIP, 4.373163528934304, 0.0076589722542057094
10, B, 100, S, hostVID, 3.5720087916704975, 0.33814029960631836
10, B, 100, S, hostLVD, 3.3203041237902076, 0.28463122556994325
10, B, 100, S, hostFDO, 3.5658416981790797, 0.059496642200327465
10, B, 110, S, hostVID, 3.8267938526334393, 0.16893207825491008
10, B, 110, S, hostLVD, 3.4479764923456635, 0.10650757764152192
10, B, 120, S, hostVID, 3.7949380215458777, 0.15916218452855826
10, B, 120, S, hostLVD, 3.3626086809015696, 0.15106071457406536
10, B, 130, S, hostVID, 3.755340067886961, 0.34378462884374167
10, B, 130, S, hostLVD, 3.550098253240266, 0.19365986387559012
10, B, 140, S, hostVID, 3.80612434975587, 0.28004668296661644
10, B, 140, S, hostLVD, 3.4591815920956006, 0.359495047988407
10, B, 150, S, hostVID, 3.9827653777442094, 0.1214341692344024
10, B, 150, S, hostLVD, 3.4453402370749426, 0.36646750734425787
10, B, 50, F, hostVIP, 2.1257161673073175, 0.1082274374551994
10, B, 50, F, hostVID, 1.3139002456436712, 0.0001378351743522845
10, B, 50, F, hostLVD, 1.5884095982864803, 0.04612339908740332
10, B, 50, F, hostFDO, 1.3447755540432649, 0.05833681953472421
10, B, 60, F, hostVIP, 2.552544688694003, 0.13308553537606135
10, B, 60, F, hostVID, 2.428545624320833, 0.18768100441927876
10, B, 60, F, hostLVD, 1.503009075430314, 0.08843143467048059
10, B, 60, F, hostFDO, 2.5759391471005615, 0.0016361884967667087
10, B, 70, F, hostVIP, 3.1005728942921613, 0.11222491620283284
10, B, 70, F, hostVID, 3.076606594870388, 0.07050998695733718
10, B, 70, F, hostLVD, 1.9563185227079203, 0.13611572162409757
10, B, 70, F, hostFDO, 2.823310847384413, 0.0015924358519232645
10, B, 80, F, hostVIP, 3.7104563435286284, 0.05458464250131549
10, B, 80, F, hostVID, 2.9878564167690733, 0.15547889839885284
10, B, 80, F, hostLVD, 2.1232333959112712, 0.07097036017069645
10, B, 80, F, hostFDO, 2.287458924824366, 0.052427970598734164
10, B, 90, F, hostVIP, 4.271971484306156, 0.042607316220556184
10, B, 90, F, hostVID, 3.091334160591952, 0.16294589199092394
10, B, 90, F, hostLVD, 2.1232110672629982, 0.08883578784256246
10, B, 90, F, hostFDO, 3.263394129319055, 0.0032169490728884828
10, B, 100, F, hostVIP, 4.37316472829429, 0.007653502217195434
10, B, 100, F, hostVID, 2.939924060949831, 0.15693219351868365
10, B, 100, F, hostLVD, 2.3389582552304065, 0.18568554544195245
10, B, 100, F, hostFDO, 3.4298274171856256, 0.007765523059482969
10, B, 110, F, hostVID, 3.2275243155921065, 0.17924555594181973
10, B, 110, F, hostLVD, 2.362708768170138, 0.08934350927350204
10, B, 110, F, hostFDO, 3.57929875548981, 0.006104322951317818
10, B, 120, F, hostVID, 3.695237453860195, 0.027213160895479
10, B, 120, F, hostLVD, 2.2643026669924873, 0.16800597088124647
10, B, 120, F, hostFDO, 3.7266077526792882, 0.0015569008017649567
10, B, 130, F, hostVID, 3.768990552987594, 0.051404956364727854
10, B, 130, F, hostLVD, 2.010586874686264, 0.22664469288172254
10, B, 130, F, hostFDO, 3.8346512376927233, 0.005273073163141773
10, B, 140, F, hostVID, 3.8368430564246774, 0.047806640028592765
10, B, 140, F, hostLVD, 2.238901857912, 0.22906938128934642
10, B, 140, F, hostFDO, 3.962268803442145, 0.0026618110035824603
10, B, 150, F, hostVID, 3.8189765767379025, 0.05103300729990799
10, B, 150, F, hostLVD, 2.1303046988931102, 0.2455229356387194
10, B, 150, F, hostFDO, 4.079517947605162, 0.0015145142046972884
10, 5B, 50, S, hostVIP, 2.780148469659113, 0.20196171820144196
10, 5B, 50, S, hostVID, 2.425794993248677, 0.2212285318002683
10, 5B, 50, S, hostLVD, 3.0102956223574178, 0.15090355063650565
10, 5B, 50, S, hostFDO, 2.4278985488064673, 0.20844815265089942
10, 5B, 60, S, hostVIP, 2.779140442983041, 0.1301668133108138
10, 5B, 60, S, hostVID, 2.808279514087886, 0.3037006910660951
10, 5B, 60, S, hostLVD, 3.15882374059599, 0.12936967335129412
10, 5B, 60, S, hostFDO, 2.7194515963983603, 0.15794553230866512
10, 5B, 70, S, hostVIP, 2.9885532150137135, 0.12932922147680506
10, 5B, 70, S, hostVID, 3.0663072206834436, 0.2374392442397423
10, 5B, 70, S, hostLVD, 3.151921076919592, 0.14840791611848667
10, 5B, 70, S, hostFDO, 3.0449008763020333, 0.18992015960278408
10, 5B, 80, S, hostVIP, 3.5710389059059024, 0.05742805918701046
10, 5B, 80, S, hostVID, 3.3732006753781416, 0.2948097747979412
10, 5B, 80, S, hostLVD, 3.3868070263126, 0.19048772906197012
10, 5B, 80, S, hostFDO, 3.2805604887512225, 0.24296619921390752
